word,frequency,first-appearance,last-appearance
upwards,1,1.01,1.01
waited,1,1.01,1.01
Long,1,1.01,1.01
chipped,1,1.01,1.01
ominous,1,1.01,1.01
illusion,1,1.01,1.01
trick,1,1.01,1.01
wouldn’t,1,1.01,1.01
different,1,1.01,1.01
children,1,1.01,1.01
unknown,1,1.01,1.01
hesitated,1,1.01,1.01
climb,1,1.01,1.01
talking,1,1.01,1.01
quietly,1,1.01,1.01
muttered,1,1.01,1.01
word,1,1.01,1.01
mantra,1,1.01,1.01
Somehow,1,1.01,1.01
absolutely,1,1.01,1.01
continue,1,1.01,1.01
One,1,1.01,1.01
hardest,1,1.01,1.01
steps,1,1.01,1.01
jumped,1,1.01,1.01
underneath,1,1.01,1.01
sketchy,1,1.01,1.01
hurdle,1,1.01,1.01
corridor,1,1.01,1.01
entirely,1,1.01,1.01
new,1,1.01,1.01
level,1,1.01,1.01
intimidation,1,1.01,1.01
Even,1,1.01,1.01
adjusted,1,1.01,1.01
barely,1,1.01,1.01
five,1,1.01,1.01
front,1,1.01,1.01
committed,1,1.01,1.01
crept,1,1.01,1.01
inside,1,1.01,1.01
froze,1,1.01,1.01
Was,1,1.01,1.01
that…,1,1.01,1.01
rustling,1,1.01,1.01
imagination,1,1.01,1.01
hear,1,1.01,1.01
storm,1,1.01,1.01
passing,1,1.01,1.01
racket,1,1.01,1.01
roof,1,1.01,1.01
overhead,1,1.01,1.01
blowing,1,1.01,1.01
leaf—,1,1.01,1.01
Rustle,1,1.01,1.01
rustle,1,1.01,1.01
definitely,1,1.01,1.01
playing,1,1.01,1.01
drums,1,1.01,1.01
rat,1,1.01,1.01
Something—it,1,1.01,1.01
sounded,1,1.01,1.01
almost,1,1.01,1.01
leathery,1,1.01,1.01
wings,1,1.01,1.01
unfurling…,1,1.01,1.01
Dustragdustragdustragdustragdustra—,1,1.01,1.01
distance,1,1.01,1.01
thunder,1,1.01,1.01
rolled,1,1.01,1.01
gust,1,1.01,1.01
blew,1,1.01,1.01
Something,1,1.01,1.01
unfurled,1,1.01,1.01
flew,1,1.01,1.01
screamed,1,1.01,1.01
flailed,1,1.01,1.01
crashed,1,1.01,1.01
confusion,1,1.01,1.01
fought,1,1.01,1.01
attacking,1,1.01,1.01
pelting,1,1.01,1.01
wrapped,1,1.01,1.01
eventually,1,1.01,1.01
threw,1,1.01,1.01
scrambled,1,1.01,1.01
creature,1,1.01,1.01
was—,1,1.01,1.01
seconds,1,1.01,1.01
stared,1,1.01,1.01
hands,1,1.01,1.01
complete,1,1.01,1.01
shock,1,1.01,1.01
Once,1,1.01,1.01
stop,1,1.01,1.01
running,1,1.01,1.01
marathon,1,1.01,1.01
exhaled,1,1.01,1.01
Curtains,1,1.01,1.01
picked,1,1.01,1.01
studied,1,1.01,1.01
extent,1,1.01,1.01
detective,1,1.01,1.01
skills,1,1.01,1.01
curtain—or,1,1.01,1.01
Mildew,1,1.01,1.01
dirt,1,1.01,1.01
turned,1,1.01,1.01
okay,1,1.01,1.01
racing,1,1.01,1.01
fast,1,1.01,1.01
shudder,1,1.01,1.01
eerie,1,1.01,1.01
manner,1,1.01,1.01
window,1,1.01,1.01
stopped,1,1.01,1.01
make,1,1.01,1.01
many,1,1.01,1.01
details,1,1.01,1.01
keep,1,1.01,1.01
exploring,1,1.01,1.01
bottom,1,1.01,1.01
familiar,1,1.01,1.01
quickly,1,1.01,1.01
